provider,date,timestamp,tar_path,member_name,issue_type,missing_member,consumer,action_taken,note
ns_ov_fiets,2022-10-08,2022-10-08T06:00:00,\2022\10\08\06\ns_ov_fiets_fietsData_202210080600.tar.gz,station_status,missing_member,station_status,docked_table,skipped_snapshot,
ns_ov_fiets,2022-10-11,2022-10-11T06:00:00,\2022\10\11\06\ns_ov_fiets_fietsData_202210110600.tar.gz,station_status,missing_member,station_status,docked_table,skipped_snapshot,
donkey_denHaag,2022-11-12,2022-11-12T00:00:00,\2022\11\12\00\donkey_denHaag_fietsData_202211120000.tar.gz,station_information,unreadable_member,,station_table,used_fallback_snapshot,parse failure while building station metadata
donkey_denHaag,2022-11-12,2022-11-12T01:00:00,\2022\11\12\01\donkey_denHaag_fietsData_202211120100.tar.gz,station_information,unreadable_member,,station_table,used_fallback_snapshot,parse failure while building station metadata
donkey_denHaag,2022-11-12,2022-11-12T02:00:00,\2022\11\12\02\donkey_denHaag_fietsData_202211120200.tar.gz,station_information,unreadable_member,,station_table,used_fallback_snapshot,parse failure while building station metadata
donkey_denHaag,2022-11-12,2022-11-12T03:00:00,\2022\11\12\03\donkey_denHaag_fietsData_202211120300.tar.gz,station_information,unreadable_member,,station_table,used_fallback_snapshot,parse failure while building station metadata
donkey_denHaag,2022-11-12,2022-11-12T04:00:00,\2022\11\12\04\donkey_denHaag_fietsData_202211120400.tar.gz,station_information,unreadable_member,,station_table,used_fallback_snapshot,parse failure while building station metadata
donkey_denHaag,2022-11-12,2022-11-12T05:00:00,\2022\11\12\05\donkey_denHaag_fietsData_202211120500.tar.gz,station_information,unreadable_member,,station_table,used_fallback_snapshot,parse failure while building station metadata
donkey_denHaag,2022-11-12,2022-11-12T06:00:00,\2022\11\12\06\donkey_denHaag_fietsData_202211120600.tar.gz,station_information,unreadable_member,,station_table,used_fallback_snapshot,parse failure while building station metadata
donkey_denHaag,2022-11-12,2022-11-12T07:00:00,\2022\11\12\07\donkey_denHaag_fietsData_202211120700.tar.gz,station_information,unreadable_member,,station_table,used_fallback_snapshot,parse failure while building station metadata
donkey_denHaag,2022-11-12,2022-11-12T08:00:00,\2022\11\12\08\donkey_denHaag_fietsData_202211120800.tar.gz,station_information,unreadable_member,,station_table,used_fallback_snapshot,parse failure while building station metadata
donkey_denHaag,2022-11-12,2022-11-12T09:00:00,\2022\11\12\09\donkey_denHaag_fietsData_202211120900.tar.gz,station_information,unreadable_member,,station_table,used_fallback_snapshot,parse failure while building station metadata
donkey_denHaag,2022-11-12,2022-11-12T10:00:00,\2022\11\12\10\donkey_denHaag_fietsData_202211121000.tar.gz,station_information,unreadable_member,,station_table,used_fallback_snapshot,parse failure while building station metadata
donkey_denHaag,2022-11-12,2022-11-12T11:00:00,\2022\11\12\11\donkey_denHaag_fietsData_202211121100.tar.gz,station_information,unreadable_member,,station_table,used_fallback_snapshot,parse failure while building station metadata
donkey_denHaag,2022-11-12,2022-11-12T12:00:00,\2022\11\12\12\donkey_denHaag_fietsData_202211121200.tar.gz,station_information,unreadable_member,,station_table,used_fallback_snapshot,parse failure while building station metadata
donkey_denHaag,2022-11-12,2022-11-12T13:00:00,\2022\11\12\13\donkey_denHaag_fietsData_202211121300.tar.gz,station_information,unreadable_member,,station_table,used_fallback_snapshot,parse failure while building station metadata
donkey_denHaag,2022-11-12,2022-11-12T14:00:00,\2022\11\12\14\donkey_denHaag_fietsData_202211121400.tar.gz,station_information,unreadable_member,,station_table,used_fallback_snapshot,parse failure while building station metadata
donkey_denHaag,2022-11-12,2022-11-12T15:00:00,\2022\11\12\15\donkey_denHaag_fietsData_202211121500.tar.gz,station_information,unreadable_member,,station_table,used_fallback_snapshot,parse failure while building station metadata
donkey_denHaag,2022-11-12,2022-11-12T16:00:00,\2022\11\12\16\donkey_denHaag_fietsData_202211121600.tar.gz,station_information,unreadable_member,,station_table,used_fallback_snapshot,parse failure while building station metadata
donkey_denHaag,2022-11-12,2022-11-12T17:00:00,\2022\11\12\17\donkey_denHaag_fietsData_202211121700.tar.gz,station_information,unreadable_member,,station_table,used_fallback_snapshot,parse failure while building station metadata
donkey_denHaag,2022-11-12,2022-11-12T18:00:00,\2022\11\12\18\donkey_denHaag_fietsData_202211121800.tar.gz,station_information,unreadable_member,,station_table,used_fallback_snapshot,parse failure while building station metadata
donkey_denHaag,2022-11-12,2022-11-12T19:00:00,\2022\11\12\19\donkey_denHaag_fietsData_202211121900.tar.gz,station_information,unreadable_member,,station_table,used_fallback_snapshot,parse failure while building station metadata
donkey_denHaag,2022-11-12,2022-11-12T20:00:00,\2022\11\12\20\donkey_denHaag_fietsData_202211122000.tar.gz,station_information,unreadable_member,,station_table,used_fallback_snapshot,parse failure while building station metadata
donkey_denHaag,2022-11-12,2022-11-12T21:00:00,\2022\11\12\21\donkey_denHaag_fietsData_202211122100.tar.gz,station_information,unreadable_member,,station_table,used_fallback_snapshot,parse failure while building station metadata
donkey_denHaag,2022-11-12,2022-11-12T22:00:00,\2022\11\12\22\donkey_denHaag_fietsData_202211122200.tar.gz,station_information,unreadable_member,,station_table,used_fallback_snapshot,parse failure while building station metadata
donkey_denHaag,2022-11-12,2022-11-12T23:00:00,\2022\11\12\23\donkey_denHaag_fietsData_202211122300.tar.gz,station_information,unreadable_member,,station_table,used_fallback_snapshot,parse failure while building station metadata
donkey_denHaag,2022-11-13,2022-11-13T00:00:00,\2022\11\13\00\donkey_denHaag_fietsData_202211130000.tar.gz,station_information,unreadable_member,,station_table,used_fallback_snapshot,parse failure while building station metadata
donkey_denHaag,2022-11-13,2022-11-13T01:00:00,\2022\11\13\01\donkey_denHaag_fietsData_202211130100.tar.gz,station_information,unreadable_member,,station_table,used_fallback_snapshot,parse failure while building station metadata
donkey_denHaag,2022-11-13,2022-11-13T02:00:00,\2022\11\13\02\donkey_denHaag_fietsData_202211130200.tar.gz,station_information,unreadable_member,,station_table,used_fallback_snapshot,parse failure while building station metadata
donkey_denHaag,2022-11-13,2022-11-13T03:00:00,\2022\11\13\03\donkey_denHaag_fietsData_202211130300.tar.gz,station_information,unreadable_member,,station_table,used_fallback_snapshot,parse failure while building station metadata
donkey_denHaag,2022-11-13,2022-11-13T04:00:00,\2022\11\13\04\donkey_denHaag_fietsData_202211130400.tar.gz,station_information,unreadable_member,,station_table,used_fallback_snapshot,parse failure while building station metadata
donkey_denHaag,2022-11-13,2022-11-13T05:00:00,\2022\11\13\05\donkey_denHaag_fietsData_202211130500.tar.gz,station_information,unreadable_member,,station_table,used_fallback_snapshot,parse failure while building station metadata
donkey_denHaag,2022-11-13,2022-11-13T06:00:00,\2022\11\13\06\donkey_denHaag_fietsData_202211130600.tar.gz,station_information,unreadable_member,,station_table,used_fallback_snapshot,parse failure while building station metadata
donkey_denHaag,2022-11-13,2022-11-13T07:00:00,\2022\11\13\07\donkey_denHaag_fietsData_202211130700.tar.gz,station_information,unreadable_member,,station_table,used_fallback_snapshot,parse failure while building station metadata
donkey_denHaag,2022-11-13,2022-11-13T08:00:00,\2022\11\13\08\donkey_denHaag_fietsData_202211130800.tar.gz,station_information,unreadable_member,,station_table,used_fallback_snapshot,parse failure while building station metadata
donkey_denHaag,2022-11-13,2022-11-13T09:00:00,\2022\11\13\09\donkey_denHaag_fietsData_202211130900.tar.gz,station_information,unreadable_member,,station_table,used_fallback_snapshot,parse failure while building station metadata
donkey_denHaag,2022-11-13,2022-11-13T10:00:00,\2022\11\13\10\donkey_denHaag_fietsData_202211131000.tar.gz,station_information,unreadable_member,,station_table,used_fallback_snapshot,parse failure while building station metadata
donkey_denHaag,2022-11-13,2022-11-13T11:00:00,\2022\11\13\11\donkey_denHaag_fietsData_202211131100.tar.gz,station_information,unreadable_member,,station_table,used_fallback_snapshot,parse failure while building station metadata
donkey_denHaag,2022-11-13,2022-11-13T12:00:00,\2022\11\13\12\donkey_denHaag_fietsData_202211131200.tar.gz,station_information,unreadable_member,,station_table,used_fallback_snapshot,parse failure while building station metadata
donkey_denHaag,2022-11-13,2022-11-13T13:00:00,\2022\11\13\13\donkey_denHaag_fietsData_202211131300.tar.gz,station_information,unreadable_member,,station_table,used_fallback_snapshot,parse failure while building station metadata
donkey_denHaag,2022-11-13,2022-11-13T14:00:00,\2022\11\13\14\donkey_denHaag_fietsData_202211131400.tar.gz,station_information,unreadable_member,,station_table,used_fallback_snapshot,parse failure while building station metadata
donkey_denHaag,2022-11-13,2022-11-13T15:00:00,\2022\11\13\15\donkey_denHaag_fietsData_202211131500.tar.gz,station_information,unreadable_member,,station_table,used_fallback_snapshot,parse failure while building station metadata
donkey_denHaag,2022-11-13,2022-11-13T16:00:00,\2022\11\13\16\donkey_denHaag_fietsData_202211131600.tar.gz,station_information,unreadable_member,,station_table,used_fallback_snapshot,parse failure while building station metadata
donkey_denHaag,2022-11-13,2022-11-13T17:00:00,\2022\11\13\17\donkey_denHaag_fietsData_202211131700.tar.gz,station_information,unreadable_member,,station_table,used_fallback_snapshot,parse failure while building station metadata
donkey_denHaag,2022-11-13,2022-11-13T18:00:00,\2022\11\13\18\donkey_denHaag_fietsData_202211131800.tar.gz,station_information,unreadable_member,,station_table,used_fallback_snapshot,parse failure while building station metadata
donkey_denHaag,2022-11-13,2022-11-13T19:00:00,\2022\11\13\19\donkey_denHaag_fietsData_202211131900.tar.gz,station_information,unreadable_member,,station_table,used_fallback_snapshot,parse failure while building station metadata
donkey_denHaag,2022-11-13,2022-11-13T20:00:00,\2022\11\13\20\donkey_denHaag_fietsData_202211132000.tar.gz,station_information,unreadable_member,,station_table,used_fallback_snapshot,parse failure while building station metadata
donkey_denHaag,2022-11-13,2022-11-13T21:00:00,\2022\11\13\21\donkey_denHaag_fietsData_202211132100.tar.gz,station_information,unreadable_member,,station_table,used_fallback_snapshot,parse failure while building station metadata
donkey_denHaag,2022-11-13,2022-11-13T22:00:00,\2022\11\13\22\donkey_denHaag_fietsData_202211132200.tar.gz,station_information,unreadable_member,,station_table,used_fallback_snapshot,parse failure while building station metadata
donkey_denHaag,2022-11-13,2022-11-13T23:00:00,\2022\11\13\23\donkey_denHaag_fietsData_202211132300.tar.gz,station_information,unreadable_member,,station_table,used_fallback_snapshot,parse failure while building station metadata
donkey_denHaag,2022-11-14,2022-11-14T00:00:00,\2022\11\14\00\donkey_denHaag_fietsData_202211140000.tar.gz,station_information,unreadable_member,,station_table,used_fallback_snapshot,parse failure while building station metadata
donkey_denHaag,2022-11-14,2022-11-14T01:00:00,\2022\11\14\01\donkey_denHaag_fietsData_202211140100.tar.gz,station_information,unreadable_member,,station_table,used_fallback_snapshot,parse failure while building station metadata
donkey_denHaag,2022-11-14,2022-11-14T02:00:00,\2022\11\14\02\donkey_denHaag_fietsData_202211140200.tar.gz,station_information,unreadable_member,,station_table,used_fallback_snapshot,parse failure while building station metadata
donkey_denHaag,2022-11-14,2022-11-14T03:00:00,\2022\11\14\03\donkey_denHaag_fietsData_202211140300.tar.gz,station_information,unreadable_member,,station_table,used_fallback_snapshot,parse failure while building station metadata
donkey_denHaag,2022-11-14,2022-11-14T04:00:00,\2022\11\14\04\donkey_denHaag_fietsData_202211140400.tar.gz,station_information,unreadable_member,,station_table,used_fallback_snapshot,parse failure while building station metadata
donkey_denHaag,2022-11-14,2022-11-14T05:00:00,\2022\11\14\05\donkey_denHaag_fietsData_202211140500.tar.gz,station_information,unreadable_member,,station_table,used_fallback_snapshot,parse failure while building station metadata
donkey_denHaag,2022-11-14,2022-11-14T06:00:00,\2022\11\14\06\donkey_denHaag_fietsData_202211140600.tar.gz,station_information,unreadable_member,,station_table,used_fallback_snapshot,parse failure while building station metadata
donkey_denHaag,2022-11-14,2022-11-14T07:00:00,\2022\11\14\07\donkey_denHaag_fietsData_202211140700.tar.gz,station_information,unreadable_member,,station_table,used_fallback_snapshot,parse failure while building station metadata
donkey_denHaag,2022-11-14,2022-11-14T08:00:00,\2022\11\14\08\donkey_denHaag_fietsData_202211140800.tar.gz,station_information,unreadable_member,,station_table,used_fallback_snapshot,parse failure while building station metadata
